TABELA;NOME_INDICE;UNICO;COLUNA;POSICAO_NO_INDICE;TIPO_CONSTRAINT
ACESSOSUSU;ACESSOSUSU;0.0;A         ;0;
ACESSOSUSU;FKACESSOSU;0.0;A         ;0;FOREIGN KEY
ACESSOSUSU;PKACESSOSU;1.0;A         ;0;PRIMARY KEY
ACESSOSUSU;PKACESSOSU;1.0;B         ;1;PRIMARY KEY
BLOQUEIOFU;BLOQUEIOFU;0.0;CDFUNCAO  ;0;
BLOQUEIOFU;BLOQUEIOFU;0.0;CDFUNCAOBL;1;
BLOQUEIOFU;FKBLOQUEIO;0.0;CDFUNCAO  ;0;FOREIGN KEY
BLOQUEIOFU;PKBLOQUEIO;1.0;CDFUNCAO  ;0;PRIMARY KEY
BLOQUEIOFU;PKBLOQUEIO;1.0;CDFUNCAOBL;1;PRIMARY KEY
CFCES003  ;PKCFCES003;1.0;DS_REDUZID;0;PRIMARY KEY
CFCES004  ;PKCFCES004;1.0;NU_CNES   ;0;PRIMARY KEY
CFCES006  ;PK_CFCES00;1.0;CPF       ;0;PRIMARY KEY
CFCES006  ;PK_CFCES00;1.0;CNS       ;1;PRIMARY KEY
CNESHIST  ;CNESHIST_I;0.0;COMPETENCI;0;
GFCES001  ;FKGFCES001;0.0;TP_VISAO  ;0;FOREIGN KEY
GFCES001  ;GFCES001_I;0.0;COD_VISAO ;0;
GFCES001  ;PKGFCES001;1.0;COD_VISAO ;0;PRIMARY KEY
GFCES002  ;FKGFCES002;0.0;COD_VISAO ;0;FOREIGN KEY
GFCES002  ;GFCES002_I;0.0;COD_VISAO ;0;
GFCES002  ;GFCES002_I;0.0;COD_COMPOS;1;
GFCES002  ;PKGFCES002;1.0;COD_VISAO ;0;PRIMARY KEY
GFCES002  ;PKGFCES002;1.0;COD_COMPOS;1;PRIMARY KEY
HISTORICOO;HISTORICOO;0.0;DTOP      ;0;
HISTORICOO;HISTORICOO;0.0;TPOP      ;1;
INFOGESTAO;INFOGESTAO;0.0;UNIDADE_ID;0;FOREIGN KEY
INFOGESTAO;INFOGESTAO;0.0;UNIDADE_ID;0;
LFCES000  ;LFCES000_I;0.0;NU_MAC    ;0;
LFCES000  ;PKLFCES000;1.0;NU_MAC    ;0;PRIMARY KEY
LFCES002  ;FKLFCES002;0.0;UNIDADE_ID;0;FOREIGN KEY
LFCES002  ;FKLFCES002;0.0;COD_LEITO ;0;FOREIGN KEY
LFCES002  ;LFCES002_I;0.0;UNIDADE_ID;0;
LFCES002  ;LFCES002_I;0.0;COD_LEITO ;1;
LFCES002  ;LFCES002_I;0.0;CODTPLEITO;2;
LFCES002  ;PKLFCES002;1.0;UNIDADE_ID;0;PRIMARY KEY
LFCES002  ;PKLFCES002;1.0;COD_LEITO ;1;PRIMARY KEY
LFCES002  ;PKLFCES002;1.0;CODTPLEITO;2;PRIMARY KEY
LFCES004  ;FKLFCES004;0.0;CODMUNGEST;0;FOREIGN KEY
LFCES004  ;FKLFCES004;0.0;COD_ATIV  ;0;FOREIGN KEY
LFCES004  ;FKLFCES004;0.0;TP_UNID_ID;0;FOREIGN KEY
LFCES004  ;FKLFCES004;0.0;CO_TIPO_ES;0;FOREIGN KEY
LFCES004  ;FKLFCES004;0.0;CO_ATIVIDA;0;FOREIGN KEY
LFCES004  ;LFCES004_I;0.0;STATUSMOV ;0;
LFCES004  ;LFCES004_I;0.0;STATUS    ;0;
LFCES004  ;LFCES004_I;0.0;UNIDADE_ID;1;
LFCES004  ;LFCES004_I;0.0;UNIDADE_ID;0;
LFCES004  ;LFCES004_I;0.0;CNES      ;0;
LFCES004  ;PKLFCES004;1.0;UNIDADE_ID;0;PRIMARY KEY
LFCES005  ;LFCES005_I;0.0;CNPJ_MANT ;0;
LFCES005  ;PKLFCES005;1.0;CNPJ_MANT ;0;PRIMARY KEY
LFCES006  ;FKLFCES006;0.0;UNIDADE_ID;0;FOREIGN KEY
LFCES006  ;FKLFCES006;0.0;CODATPREST;0;FOREIGN KEY
LFCES006  ;FKLFCES006;0.0;COD_CONVEN;0;FOREIGN KEY
LFCES006  ;LFCES006_I;0.0;UNIDADE_ID;0;
LFCES006  ;LFCES006_I;0.0;CODATPREST;1;
LFCES006  ;LFCES006_I;0.0;COD_CONVEN;2;
LFCES006  ;PKLFCES006;1.0;UNIDADE_ID;0;PRIMARY KEY
LFCES006  ;PKLFCES006;1.0;CODATPREST;1;PRIMARY KEY
LFCES006  ;PKLFCES006;1.0;COD_CONVEN;2;PRIMARY KEY
LFCES007  ;FKLFCES007;0.0;UNIDADE_ID;0;FOREIGN KEY
LFCES007  ;FKLFCES007;0.0;COD_PROG  ;0;FOREIGN KEY
LFCES007  ;LFCES007_I;0.0;UNIDADE_ID;0;
LFCES007  ;LFCES007_I;0.0;COD_PROG  ;1;
LFCES007  ;LFCES007_I;0.0;IND_ESTMUN;2;
LFCES007  ;PKLFCES007;1.0;UNIDADE_ID;0;PRIMARY KEY
LFCES007  ;PKLFCES007;1.0;COD_PROG  ;1;PRIMARY KEY
LFCES007  ;PKLFCES007;1.0;IND_ESTMUN;2;PRIMARY KEY
LFCES008  ;FKLFCES008;0.0;UNIDADE_ID;0;FOREIGN KEY
LFCES008  ;FKLFCES008;0.0;CODREJEITO;0;FOREIGN KEY
LFCES008  ;LFCES008_I;0.0;UNIDADE_ID;0;
LFCES008  ;LFCES008_I;0.0;CODREJEITO;1;
LFCES008  ;PKLFCES008;1.0;UNIDADE_ID;0;PRIMARY KEY
LFCES008  ;PKLFCES008;1.0;CODREJEITO;1;PRIMARY KEY
LFCES009  ;FKLFCES009;0.0;UNIDADE_ID;0;FOREIGN KEY
LFCES009  ;FKLFCES009;0.0;CODSERVICO;0;FOREIGN KEY
LFCES009  ;LFCES009_I;0.0;UNIDADE_ID;0;
LFCES009  ;LFCES009_I;0.0;CODSERVICO;1;
LFCES009  ;LFCES009_I;0.0;COD_CARACT;2;
LFCES009  ;PKLFCES009;1.0;UNIDADE_ID;0;PRIMARY KEY
LFCES009  ;PKLFCES009;1.0;CODSERVICO;1;PRIMARY KEY
LFCES009  ;PKLFCES009;1.0;COD_CARACT;2;PRIMARY KEY
LFCES012  ;FKLFCES012;0.0;UNIDADE_ID;0;FOREIGN KEY
LFCES012  ;LFCES012_I;0.0;UNIDADE_ID;0;
LFCES012  ;PKLFCES012;1.0;UNIDADE_ID;0;PRIMARY KEY
LFCES013  ;FKLFCES013;0.0;UNIDADE_ID;0;FOREIGN KEY
LFCES013  ;LFCES013_I;0.0;UNIDADE_ID;0;
