TABELA;COLUNA;POSICAO;TIPO_DADO;COMPRIMENTO;PRECISAO;ESCALA;OBRIGATORIO;VALOR_PADRAO;DESCRICAO_COLUNA
ACERTO_LEI;UNIDADE_ID;0;VARYING   ;31;;0;1.0;;
ACERTO_LEI;QTDE_SUS  ;1;LONG      ;4;0.0;0;;;
ACESSOSUSU;A         ;0;VARYING   ;60;;0;1.0;;
ACESSOSUSU;B         ;1;VARYING   ;60;;0;1.0;;
BLOQUEIOFU;CDFUNCAO  ;0;LONG      ;4;0.0;0;1.0;;
BLOQUEIOFU;CDFUNCAOBL;1;LONG      ;4;0.0;0;1.0;;
CFCES000  ;VERSAO    ;0;VARYING   ;10;;0;;;
CFCES000  ;VERSAO_ANT;1;VARYING   ;10;;0;;;
CFCES000  ;DT_VERSAO ;2;VARYING   ;60;;0;;;
CFCES000  ;DT_ULTIMA_;3;VARYING   ;60;;0;;;
CFCES000  ;FL_LEU_MSG;4;TEXT      ;1;;0;;;
CFCES000  ;DT_ULTIMO_;5;VARYING   ;60;;0;;;
CFCES000  ;FL_EXIGIR_;6;TEXT      ;1;;0;;;
CFCES000  ;FL_SCNES_S;7;TEXT      ;1;;0;;;
CFCES001  ;CODIGO_ARQ;0;LONG      ;4;0.0;0;;;
CFCES001  ;NOME_ARQUI;1;VARYING   ;60;;0;;;
CFCES001  ;PERIODICID;2;LONG      ;4;0.0;0;;;
CFCES001  ;DT_ULTIMA_;3;VARYING   ;60;;0;;;
CFCES001  ;CMPT_ULTIM;4;VARYING   ;60;;0;;;
CFCES002  ;FL_SALVAR_;0;TEXT      ;1;;0;;;
CFCES002  ;DIRETORIO_;1;VARYING   ;100;;0;;;
CFCES002  ;DATA_ATU  ;2;DATE      ;4;;0;;;
CFCES002  ;USUARIO   ;3;VARYING   ;60;;0;;;
CFCES003  ;DS_REDUZID;0;VARYING   ;30;;0;1.0;;
CFCES003  ;CO_ATUALIZ;1;LONG      ;4;0.0;0;;;
CFCES003  ;NO_TABELA ;2;VARYING   ;30;;0;;;
CFCES003  ;DS_COMPLET;3;VARYING   ;120;;0;;;
CFCES003  ;DT_ATUALIZ;4;DATE      ;4;;0;;;
CFCES003  ;NU_VERSAO ;5;VARYING   ;10;;0;;;
CFCES004  ;NU_CNES   ;0;VARYING   ;7;;0;1.0;;
CFCES004  ;DIRETORIO_;1;VARYING   ;200;;0;1.0;;
CFCES004  ;TP_GESTAO_;2;VARYING   ;1;;0;1.0;;
CFCES004  ;TP_GESTAO_;3;VARYING   ;1;;0;1.0;;
CFCES004  ;NU_VERSAO ;4;VARYING   ;6;;0;1.0;;
CFCES004  ;COMPETENCI;5;VARYING   ;6;;0;1.0;;
CFCES004  ;NU_MAC    ;6;VARYING   ;20;;0;;;
CFCES004  ;TP_STATUS ;7;VARYING   ;1;;0;;;
CFCES004  ;USUARIO   ;8;VARYING   ;60;;0;;;
CFCES004  ;DATA_HORA ;9;TIMESTAMP ;8;;0;;;
CFCES005  ;NO_TABELA ;0;VARYING   ;60;;0;;;
CFCES005  ;COMP_CHV1 ;1;VARYING   ;60;;0;;;
CFCES005  ;COMP_CHV2 ;2;VARYING   ;60;;0;;;
CFCES005  ;COMP_CHV3 ;3;VARYING   ;60;;0;;;
CFCES005  ;MODULO    ;4;TEXT      ;1;;0;;;
CFCES006  ;CPF       ;0;VARYING   ;11;;0;1.0;;
CFCES006  ;CNS       ;1;VARYING   ;60;;0;1.0;;
CNESHIST  ;COMPETENCI;0;VARYING   ;6;;0;;;
CNESHIST  ;USUARIO   ;1;VARYING   ;60;;0;;;
CNESHIST  ;DT_GERACAO;2;TIMESTAMP ;8;;0;;;
CONSISTE  ;TABELA    ;0;VARYING   ;60;;0;;;
CONSISTE  ;CAMPO     ;1;VARYING   ;60;;0;;;
CONSISTE  ;OBRIG     ;2;TEXT      ;1;;0;;;
CONSISTE  ;TAB_RELAC ;3;VARYING   ;60;;0;;;
CONSISTE  ;CAMPO_REL ;4;VARYING   ;60;;0;;;
CONSISTE  ;TAMANHO   ;5;LONG      ;4;0.0;0;;;
CONSISTE  ;DES_CAMPO ;6;VARYING   ;60;;0;;;
CONSISTE  ;TIPO      ;7;TEXT      ;1;;0;;;
CONSISTE  ;MODULO    ;8;VARYING   ;10;;0;;;
CONSISTE  ;CMPANTPRE ;9;VARYING   ;60;;0;;;
CONSISTE  ;TBLANTPRE ;10;VARYING   ;60;;0;;;
