TP_UNID_ID;CNES;NOME_FANTA;CNPJ_MANT;STATUS;STATUSMOV
02;2750325;CENTRO DE SAUDE II;55293427000117;1;2
02;2750384;CENTRO DE SAUDE III DO CAMPINAL;55293427000117;1;2
02;9132732;CENTRO SOCIAL SAO PEDRO;;1;2
02;2750821;ESF ASSENTAMENTO LAGOINHA;55293427000117;1;2
02;4281527;ESF CENTRAL;55293427000117;1;2
02;2750856;ESF DA VILA PALMIRA;55293427000117;1;2
02;3724115;ESF DO ALTO DO MIRANTE - PRES.EPITACIO;55293427000117;1;2
02;2750953;ESF JARDIM REAL;55293427000117;1;2
02;9675426;ESF JARDIM REAL II;55293427000117;1;2
02;6306365;ESF JARDIM SANTA ROSA;55293427000117;1;2
02;2750848;ESF VILA ESPERANCA PRES EPITACIO;55293427000117;1;2
02;0985333;ESF VILA GERONIMO;55293427000117;1;2
02;5545269;ESF VILA MARIA;55293427000117;1;2
02;2750732;ESF VILA PORTO TIBIRICA;55293427000117;1;2
04;4771265;AC ESCOBAR SERVICOS MEDICOS LTDA;;1;2
04;7704003;LABORATORIO DE PROTESE ODONTOLOGICA PATARA LTDA - ME;;1;2
05;2751038;SANTA CASA DE PRESIDENTE EPITACIO;;1;2
22;4328159;ANDREIA FIORESE STIAQUE LTDA;;1;2
22;7890877;CARDIO VIDA;;1;2
22;0103578;CENTRO MEDICO VIDA E SAUDE;;1;2
22;9300252;CLINICA AGAPE;;1;2
22;7583133;CLINICA BOM JESUS;;1;2
22;2843676;CLINICA BOMFIM;;1;2
22;4456564;CLINICA CRE-SER;;1;2
22;3509915;CLINICA DE FISIOTERAPIA - PRESIDENTE EPITACIO;;1;2
22;8148937;CLINICA KALIL;;1;2
22;8130876;CLINICA MEDICA BAZAN LTDA;;1;2
22;4323904;CLINICA MULTIDISCIPLINAR FLORESCER;;1;2
22;9189661;CLINICA ODONTOLOGICA SORRISO PERFEITO;;1;2
22;8140367;CLINICA RENOVARE;;1;2
22;7629672;CLINICA SAUDE BEM ESTAR;;1;2
22;0999938;CLINVIDAPE;;1;2
22;5383110;CONS. PSICOLOGICO DRA. ROSELI SCUDELLARI FRANCO- PRES. EPITA;;1;2
22;5325102;CONSULTORIO FONOAUDIOLOGIA-PRISCILLA M.B.DIAS-PRES.EPITACIO;;1;2
22;3945006;CONSULTORIO MEDICO DR ARIOVALDO DIAS LOURENCO;;1;2
22;3945197;CONSULTORIO MEDICO DR CLARINDO HIROAKI TAKEY;;1;2
22;3945057;CONSULTORIO MEDICO DR GEORGE ANTONIO DE CARVALHO;;1;2
22;6295606;CONSULTORIO MEDICO DR JEAN KLAUS AKIRA NAKATA;;1;2
22;3945030;CONSULTORIO MEDICO DR JOAO VICTORIO BERGAMO;;1;2
22;3990524;CONSULTORIO MEDICO DR JOSE DA VEIGA G.DE OLIVEIRA FILHO;;1;2
22;3945065;CONSULTORIO MEDICO DR LUIS RENATO DE CASTRO;;1;2
22;3945081;CONSULTORIO MEDICO DR LUIZ GONZAGA ZANATTA;;1;2
22;3945022;CONSULTORIO MEDICO DR NEUDES JOSE LONGO;;1;2
22;3944999;CONSULTORIO MEDICO DRA RUTH MARIA LEAL CORDEIRO DE CARVALHO;;1;2
22;5293162;CONSULTORIO ODONTOLOGICO JOELMIR TROMBETA;;1;2
22;6792596;CONSULTORIO ODONTOLOGICO PAMELA MIRANDA JORDAO;;1;2
22;5293154;CONSULTORIO ODONTOLOGICO THIAGO OLIVATO PEREIRA;;1;2
22;5157471;CONSULTORIO PSICOLOGIA RE-DESCOBRIR - PRES. EPITACIO;;1;2
22;9149600;CONSULTORIO PSICOLOGICO ANA CAROLINA XAVIER DA SILVA;;1;2
22;9167269;CONSULTORIO PSICOLOGICO BIANCA MARIA FERREIRA SILVA OMOTE;;1;2
22;9184724;CONSULTORIO PSICOLOGICO DRA DAIELY GONCALVES FEITOSA;;1;2
22;7686056;CONSULTORIO PSICOLOGICO EDGAR COSTA THOMAZINI;;1;2
22;0451185;CONSULTORIO RODRIGO MORENO NAKATA;;1;2
22;4791673;DAMARES KIMIE SERVICOS MEDICOS;;1;2
22;2974266;DECON;;1;2
22;5756669;DIOGO P.FURUE - CONSULTORIO MEDICO;;1;2
22;8149003;GABRIELA DOS SANTOS LIMA FISIOTERAPIA;;1;2
22;9184775;GOU CLINICAS;;1;2
22;4989708;L A ANDRADE LTDA;;1;2
22;7871872;LUDMILLA FABRICIO DA COSTA;;1;2
22;5140625;LUIZ RICARDO DE GOES;;1;2
22;8113491;MARIA LUISA PIMENTEL OLIVEIRA;;1;2
22;4883942;MARILENE BATISTA DOS SANTOS ODONTOLOGIA;;1;2
22;4529200;MB PSICOLOGIA;;1;2
22;0624012;MED AGORA PRESIDENTE EPITACIO;;1;2
22;4125835;MINATTI CLINICA ODONTOLOGICA;;1;2
22;4576489;NATHALIA MENDES CONSULTORIO DE PSICOLOGIA;;1;2
22;9624945;NAYDA MANGOLIN FIORAVANTI;;1;2
22;5000211;NK CONSULTORIA NUTRICIONAL;;1;2
22;4306198;ODONTO CLARITY;;1;2
22;4525604;ODONTOCOMPANY PRESIDENTE EPITACIO;;1;2
22;2932229;OESTE SAUDE;;1;2
22;9937978;OFTALMO OESTE;;1;2
22;7963599;OS PEQUENINOS CLINICA INFANTIL;;1;2
22;7904517;PREVENCE SAUDE;;1;2
22;0103551;PRO WORK - ESPACO INTELIGENTE;;1;2
22;4690915;PSI INSTITUTO DE PSICOTERAPIA;;1;2
22;4753550;R O SILVA TERAPIA OCUPACIONAL LTDA;;1;2
22;7786697;RIBEIRO CLINICA MEDICA EIRELI;;1;2
22;2751054;SINDICATO DOS TRABALHADORES RURAIS PRES EPITACIO;55293427000117;1;2
22;0753513;UNIMED EPITACIO;;1;2
36;4191323;CEMIPE - CENTRO DE ESPECIALIDADES MEDICA E IMAGEM;55293427000117;1;2
36;7526318;INSTITUTO DE OLHOS DE PRESIDENTE EPITACIO LTDA;;1;2
39;6609414;APAE DE PRESIDENTE EPITACIO;;1;2
39;6372198;CLINICA FISIOACUS;;1;2
39;3393801;FISIOCLINICA DE PRES. EPITACIO;;1;2
39;5559030;INSTITUTO DE EQUOTERAPIA E EQUITACAO GIRA O MUNDO IEEGM;;1;2
39;5544483;INSTITUTO DE RADIOLOGIA DE PRESIDENTE EPITACIO;;1;2
39;5383269;LABORATORIO DE ANALISES CLINICAS ANA PAULA DURAN - PRES. EPI;;1;2
39;7769237;LABORATORIO DE PROTESE PRO DENTE;;1;2
39;6711510;LABORATORIO EXATO;;1;2
39;3170683;LABORATORIO NAKATA;;1;2
39;5733367;LACPE;;1;2
39;7709803;MED-RAD DIAGNOSTICOS POR IMAGEM LTDA;;1;2
39;4591216;PROTESE DENTARIA;;1;2
40;2750678;ONIBUS MOVEL TERRESTRE DE PRESIDENTE EPITACIO;55293427000117;1;2
43;4422694;BIGFARMA PRESIDENTE EPITACIO;;1;2
43;4442970;DROGASIL DS1920;;1;2
50;3076814;CCZ CENTRO DE CONTROLE DE ZOONOSES;55293427000117;1;2
50;8155399;CONTROLE DE VETORES PRES EPITACIO COVEPE;55293427000117;1;2
50;2751402;VISA PRES EPITACIO;55293427000117;1;2
68;6764991;SECRETARIA MUNICIPAL DE SAUDE DE PRESIDENTE EPITACIO;55293427000117;1;2
70;9112618;CENTRO DE ATENCAO PSICOSSOCIAL SAO LUCAS;55293427000117;1;2
70;5606926;RESIDENCIA TERAPEUTICA PRES. EPITACIO;55293427000117;1;2
74;9112715;ACADEMIA DA SAUDE JOIA RIBEIRINHA;55293427000117;1;2
80;7602464;LABORATORIO DE ANALISES CLINICAS DE PRES EPITACIO;55293427000117;1;2
80;4126149;LABORATORIO PRO VIDA;;1;2
83;5559022;CENTRO HIPICO BIANCA MARIA;;1;2
83;8096821;INSTITUTO DALTON SALOMAO;;1;2
84;0224006;CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO COVID 19 PE;55293427000117;1;2
