CD_VINCULACAO;TP_VINCULO;DS_VINCULO;ST_HABILITADO
01;00;NAO SE APLICA;N
01;01;ESTATUTARIO EFETIVO;S
01;02;EMPREGADO PUBLICO CELETISTA;S
01;03;CONTRATADO TEMPORÁRIO OU POR PRAZO/TEMPO DETERMINADO;S
01;04;CARGO COMISSIONADO;S
01;05;CELETISTA;S
02;00;NAO SE APLICA;N
02;01;INTERMEDIADO POR ORGANIZACAO SOCIAL(OS);N
02;02;INTERMEDIADO ORG DA SOCIEDADE CIVIL DE INTERESSE PUBL(OSCIP);N
02;03;INTERMEDIADO POR ORGANIZACAO NAO-GOVERNAMENTAL(ONG);N
02;04;INTERMEDIADO P ENTIDADE FILANTROPICA E/OU SEM FINS LUCRATIVO;N
02;05;INTERMEDIADO POR EMPRESA PRIVADA;N
02;06;CONSULTORIA;N
02;07;SEM INTERMEDIACAO(RPA);N
02;08;INTERMEDIADO POR COOPERATIVA;N
03;00;NAO SE APLICA;N
04;01;BOLSA;N
04;02;CONTRATO VERBAL/INFORMAL;N
04;03;PROPRIETARIO;N
05;00;NAO SE APLICA;N
06;00;NAO SE APLICA;N
02;09;PESSOA JURIDICA;S
02;10;PESSOA FISICA;S
02;11;COOPERADO;S
05;01;RESIDENTE;S
06;01;ESTAGIARIO;S
07;01;BOLSISTA;S
08;01;EMPREGADO PUBLICO CELETISTA;S
08;02;CONTRATADO TEMPORARIO OU POR PRAZO/TEMPO DETERMINADO;S
08;03;CARGO COMISSIONADO;S
